user_id,movie_id,recency_rank
user_089,tt1488555,5
user_090,tt2012011,1
user_090,tt0102713,2
user_090,tt0780595,3
user_090,tt0089853,4
user_090,tt0122642,5
user_091,tt0120685,1
user_091,tt0314006,2
user_091,tt0115742,3
user_091,tt0098631,4
user_091,tt0167427,5
user_092,tt0095016,1
user_092,tt0092074,2
user_092,tt3957716,3
user_092,tt0368580,4
user_092,tt1133993,5
user_093,tt0259711,1
user_093,tt0112819,2
user_093,tt0097276,3
user_093,tt1122836,4
user_093,tt0119695,5
user_094,tt0091164,1
user_094,tt0275491,2
user_094,tt0338096,3
user_094,tt0097289,4
user_094,tt0427392,5
user_095,tt0120383,1
user_095,tt1488555,2
user_095,tt1918965,3
user_095,tt0087525,4
user_095,tt0168786,5
user_096,tt0270417,1
user_096,tt1563704,2
user_096,tt0332280,3
user_096,tt0090209,4
user_096,tt0092843,5
user_097,tt1213644,1
user_097,tt3060492,2
user_097,tt0191074,3
user_097,tt1156398,4
user_097,tt1070858,5
user_098,tt0313196,1
user_098,tt0373051,2
user_098,tt0113089,3
user_098,tt0338096,4
user_098,tt0120710,5
user_099,tt0374563,1
user_099,tt0210616,2
user_099,tt0120655,3
user_099,tt0102592,4
user_099,tt1787988,5
user_100,tt1587707,1
user_100,tt0418206,2
user_100,tt0124718,3
user_100,tt0091055,4
user_100,tt0119336,5
